TestCategoryId,SprintId,Name,Sequence,TestDate,Department,TotalTest,OutOfScope,Failed,Blocked,Passed,PercentagePassed,Source_TestDay
1,2,Smoke Testing,1,,IT,54,3,0,0,28,0.5490196078431373,Day 1
2,2,Market Local Testing,2,,IT,80,1,4,8,49,0.620253164556962,Day 1
3,2,FDM,3,,,75,1,0,0,0,0.0,
4,2,NP6 Regression,4,,IT,46,12,0,0,0,0.0,Day 1
5,2,K# Regression,5,,IT,94,43,0,0,0,0.0,Day 2
6,2,KVS Cell Enhancement,6,,IT,57,29,0,0,0,0.0,Day 2
7,2,Open Close,7,,IT,8,4,0,0,0,0.0,Day 3
8,2,KVS,8,,IT,21,3,0,0,0,0.0,Day 3
9,2,Receipts,9,,Finance,27,2,0,0,0,0.0,Day 3
10,2,Receipt-Printer,10,,IT,12,2,0,0,0,0.0,Day 3
11,2,NGORB,11,,IT,7,1,0,0,0,0.0,Day 4
12,2,PICK List,12,,IT,13,6,0,0,0,0.0,Day 4
13,2,Suggestive Selling,13,,IT,35,26,0,0,0,0.0,Day 5
14,2,Manager Function,14,,IT,12,4,0,0,0,0.0,Day 5
15,2,Fail Over,15,,,4,1,0,0,0,0.0,
16,2,Loyalty,16,,Digital,19,5,0,0,0,0.0,Day 6
17,2,CLR,17,,Digital,272,8,0,0,0,0.0,Day 6
18,2,Promotion,18,,IT,20,11,0,0,0,0.0,Day 7
19,2,Smart Update,19,,IT,29,13,0,0,0,0.0,Day 7
20,2,Reports,21,,Ops,18,13,0,0,0,0.0,Day 8
21,2,SOS Reports,20,,Ops,62,6,0,0,0,0.0,Day 8
22,2,Detach Attach,22,,IT,4,0,0,0,0,0.0,Day 9
23,2,Display Unit,23,,IT,7,1,0,0,0,0.0,Day 9
24,2,3PO,24,,IT,56,15,0,0,0,0.0,Day 9
25,2,RMHC,26,,IT,14,3,0,0,0,0.0,Day 9
26,2,Best Burger,10,,IT,28,17,0,0,0,0.0,Day 4
27,2,Autorelease,27,,,12,12,0,0,0,0.0,x10
28,2,MOP,29,,,39,38,0,0,0,0.0,x10
29,2,DT Pick List,28,,,40,40,0,0,0,0.0,x10
